week,total_leads,converted_leads,conversion_rate
2023-01-02,50,19,0.38
2023-01-09,42,17,0.40476190476190477
2023-01-16,44,13,0.29545454545454547
2023-01-23,39,13,0.3333333333333333
2023-01-30,17,11,0.6470588235294118
2023-02-06,35,14,0.4
2023-02-13,31,10,0.3225806451612903
2023-02-20,20,5,0.25
2023-02-27,30,16,0.5333333333333333
2023-03-06,37,11,0.2972972972972973
2023-03-13,25,9,0.36
2023-03-20,33,9,0.2727272727272727
2023-03-27,13,8,0.6153846153846154
2023-04-03,28,5,0.17857142857142858
2023-04-10,30,11,0.36666666666666664
2023-04-17,37,20,0.5405405405405406
2023-04-24,15,6,0.4
2023-05-01,32,17,0.53125
2023-05-08,35,16,0.45714285714285713
2023-05-15,36,13,0.3611111111111111
2023-05-22,28,10,0.35714285714285715
2023-05-29,24,7,0.2916666666666667
2023-06-05,39,11,0.28205128205128205
2023-06-12,55,15,0.2727272727272727
2023-06-19,32,9,0.28125
2023-06-26,38,15,0.39473684210526316
2023-07-03,42,14,0.3333333333333333
2023-07-10,33,14,0.42424242424242425
2023-07-17,51,19,0.37254901960784315
2023-07-24,29,9,0.3103448275862069
2023-07-31,28,13,0.4642857142857143
2023-08-07,43,14,0.32558139534883723
2023-08-14,42,17,0.40476190476190477
2023-08-21,48,17,0.3541666666666667
2023-08-28,20,5,0.25
2023-09-04,29,11,0.3793103448275862
2023-09-11,25,9,0.36
2023-09-18,30,9,0.3
2023-09-25,16,6,0.375
2023-10-02,31,15,0.4838709677419355
2023-10-09,27,13,0.48148148148148145
2023-10-16,37,22,0.5945945945945946
2023-10-23,18,9,0.5
2023-10-30,23,8,0.34782608695652173
2023-11-06,26,13,0.5
2023-11-13,18,5,0.2777777777777778
2023-11-20,32,10,0.3125
2023-11-27,36,14,0.3888888888888889
2023-12-04,39,14,0.358974358974359
2023-12-11,45,18,0.4
2023-12-18,41,10,0.24390243902439024
2023-12-25,40,8,0.2
2024-01-01,46,18,0.391304347826087
2024-01-08,46,16,0.34782608695652173
2024-01-15,52,22,0.4230769230769231
2024-01-22,43,18,0.4186046511627907
2024-01-29,15,7,0.4666666666666667
2024-02-05,35,10,0.2857142857142857
2024-02-12,31,13,0.41935483870967744
2024-02-19,34,7,0.20588235294117646
2024-02-26,33,14,0.42424242424242425
2024-03-04,25,7,0.28
2024-03-11,28,13,0.4642857142857143
2024-03-18,27,12,0.4444444444444444
2024-03-25,10,6,0.6
2024-04-01,31,9,0.2903225806451613
2024-04-08,28,9,0.32142857142857145
2024-04-15,32,10,0.3125
2024-04-22,30,15,0.5
2024-04-29,21,7,0.3333333333333333
2024-05-06,28,11,0.39285714285714285
2024-05-13,43,15,0.3488372093023256
2024-05-20,40,11,0.275
2024-05-27,24,8,0.3333333333333333
2024-06-03,45,12,0.26666666666666666
2024-06-10,46,18,0.391304347826087
2024-06-17,54,16,0.2962962962962963
2024-06-24,31,14,0.45161290322580644
2024-07-01,37,13,0.35135135135135137
2024-07-08,45,21,0.4666666666666667
2024-07-15,52,18,0.34615384615384615
2024-07-22,35,11,0.3142857142857143
2024-07-29,22,8,0.36363636363636365
2024-08-05,47,17,0.3617021276595745
2024-08-12,45,18,0.4
2024-08-19,44,14,0.3181818181818182
2024-08-26,27,12,0.4444444444444444
2024-09-02,25,9,0.36
2024-09-09,38,16,0.42105263157894735
2024-09-16,34,11,0.3235294117647059
2024-09-23,27,13,0.48148148148148145
2024-09-30,23,10,0.43478260869565216
2024-10-07,29,12,0.41379310344827586
2024-10-14,24,6,0.25
2024-10-21,32,11,0.34375
2024-10-28,17,6,0.35294117647058826
2024-11-04,34,14,0.4117647058823529
2024-11-11,22,11,0.5
2024-11-18,40,18,0.45
2024-11-25,30,11,0.36666666666666664
2024-12-02,46,18,0.391304347826087
2024-12-09,48,20,0.4166666666666667
2024-12-16,43,19,0.4418604651162791
2024-12-23,36,12,0.3333333333333333
2024-12-30,37,15,0.40540540540540543
2025-01-06,37,19,0.5135135135135135
2025-01-13,46,17,0.3695652173913043
2025-01-20,40,11,0.275
2025-01-27,24,11,0.4583333333333333
2025-02-03,30,9,0.3
2025-02-10,28,9,0.32142857142857145
2025-02-17,27,10,0.37037037037037035
2025-02-24,31,16,0.5161290322580645
2025-03-03,29,16,0.5517241379310345
2025-03-10,24,11,0.4583333333333333
2025-03-17,35,13,0.37142857142857144
2025-03-24,17,7,0.4117647058823529
2025-03-31,21,10,0.47619047619047616
2025-04-07,25,11,0.44
2025-04-14,22,8,0.36363636363636365
2025-04-21,29,12,0.41379310344827586
2025-04-28,26,9,0.34615384615384615
2025-05-05,32,15,0.46875
2025-05-12,21,8,0.38095238095238093
2025-05-19,30,9,0.3
2025-05-26,14,3,0.21428571428571427
2025-06-02,29,14,0.4827586206896552
2025-06-09,37,19,0.5135135135135135
2025-06-16,40,8,0.2
2025-06-23,35,18,0.5142857142857142
2025-06-30,31,10,0.3225806451612903
2025-07-07,45,14,0.3111111111111111
2025-07-14,47,17,0.3617021276595745
2025-07-21,29,14,0.4827586206896552
2025-07-28,20,10,0.5
2025-08-04,34,13,0.38235294117647056
2025-08-11,34,16,0.47058823529411764
2025-08-18,36,15,0.4166666666666667
2025-08-25,20,8,0.4
2025-09-01,26,13,0.5
2025-09-08,21,11,0.5238095238095238
2025-09-15,33,8,0.24242424242424243
2025-09-22,26,13,0.5
2025-09-29,18,8,0.4444444444444444
2025-10-06,20,10,0.5
2025-10-13,32,7,0.21875
2025-10-20,28,6,0.21428571428571427
2025-10-27,10,4,0.4
2025-11-03,19,8,0.42105263157894735
2025-11-10,28,12,0.42857142857142855
2025-11-17,29,10,0.3448275862068966
2025-11-24,18,8,0.4444444444444444
2025-12-01,36,17,0.4722222222222222
2025-12-08,43,18,0.4186046511627907
2025-12-15,42,17,0.40476190476190477
2025-12-22,32,13,0.40625
