total_calls,total_whatsapp_messages,total_emails,email_opened,whatsapp_replied,form_completion_percentage,response_time_hours,days_since_last_interaction,days_in_inquiry_stage,days_in_engagement_stage,days_in_application_stage,days_in_verification_stage,counselor_id,converted,days_to_convert,lead_month,lead_quarter,lead_year,lead_dayofweek,source_facebook,source_google_ads,source_referral,source_walk_in,source_website,course_interest_B.Com,course_interest_B.Tech CS,course_interest_BBA,course_interest_M.Tech,course_interest_MBA,city_Bangalore,city_Chennai,city_Delhi,city_Hyderabad,city_Mumbai,city_Pune,current_stage_admission,current_stage_application,current_stage_engagement,current_stage_enrollment,current_stage_inquiry,current_stage_payment,current_stage_verification,total_touchpoints,engagement_ratio,total_pipeline_days,is_fast_responder,is_dormant,form_tier
1,0,0,0,0,0,22.1,20,2,5,6,5,5,0,0.0,8,3,2023,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0,18,1,0,0
1,3,1,0,1,0,32.6,13,20,14,0,1,8,0,0.0,11,4,2025,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0.16666666666666666,35,0,0,0
0,0,0,0,0,30,5.5,10,4,13,3,6,2,1,34.0,1,1,2023,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,26,1,0,0
5,6,0,0,1,45,36.4,10,10,13,10,6,5,0,0.0,5,2,2025,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,11,0.08333333333333333,39,0,0,1
0,0,1,1,0,18,45.5,11,4,12,2,1,6,1,19.0,1,1,2024,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.5,19,0,0,0
5,8,1,1,0,29,36.4,6,1,14,7,6,10,0,0.0,11,4,2025,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,14,0.06666666666666667,28,0,0,0
3,0,0,0,0,39,14.5,23,8,11,9,7,10,0,0.0,9,3,2024,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0.0,35,1,0,1
7,3,1,0,0,35,36.4,30,11,15,3,7,6,0,0.0,4,2,2024,4,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,11,0.0,36,0,1,1
0,3,0,0,0,13,36.4,2,20,10,7,4,9,0,0.0,5,2,2024,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0.0,41,0,0,0
1,0,3,1,0,23,24.3,14,7,10,7,1,9,0,0.0,1,1,2023,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0.2,25,0,0,0
