lead_id,created_date,source,course_interest,city,total_calls,total_whatsapp_messages,total_emails,email_opened,whatsapp_replied,form_completion_percentage,response_time_hours,days_since_last_interaction,current_stage,days_in_inquiry_stage,days_in_engagement_stage,days_in_application_stage,days_in_verification_stage,counselor_id,converted,days_to_convert
LEAD00001,2023-08-16,referral,B.Tech CS,Delhi,1,0,0,0,0,0,22.1,20,application,2,5,6,5,C005,0,
LEAD00002,2025-11-11,referral,B.Com,Hyderabad,1,3,1,0,1,0,32.6,13,inquiry,20,14,0,1,C008,0,
LEAD00003,2023-01-23,google_ads,BBA,Chennai,0,0,0,0,0,30,5.5,10,application,4,13,3,6,C002,1,34
LEAD00004,2025-05-02,facebook,M.Tech,Hyderabad,5,6,0,0,1,45,,10,inquiry,10,13,10,6,C005,0,
LEAD00005,2024-01-18,facebook,M.Tech,Mumbai,0,0,1,1,0,18,45.5,11,payment,4,12,2,1,C006,1,19
LEAD00006,2025-11-10,walk_in,BBA,Mumbai,5,8,1,1,0,29,,6,application,1,14,7,6,C010,0,
LEAD00007,2024-09-11,google_ads,B.Tech CS,Hyderabad,3,0,0,0,0,39,14.5,23,application,8,11,9,7,C010,0,
LEAD00008,2024-04-05,website,B.Tech CS,Chennai,7,3,1,0,0,35,,30,engagement,11,15,3,7,C006,0,
LEAD00009,2024-05-16,walk_in,B.Tech CS,Pune,0,3,0,0,0,13,,2,verification,20,10,7,4,C009,0,
LEAD00010,2023-01-14,google_ads,BBA,Pune,1,0,3,1,0,23,24.3,14,engagement,7,10,7,1,C009,0,
LEAD00011,2025-09-25,google_ads,B.Com,Pune,4,7,1,0,1,94,33.3,21,engagement,3,4,1,7,C008,1,27
LEAD00012,2025-03-05,google_ads,B.Com,Chennai,7,9,4,1,0,10,21.2,3,admission,8,4,3,4,C002,1,54
LEAD00013,2024-03-20,facebook,BBA,Hyderabad,2,1,1,1,1,0,44.0,5,admission,9,3,4,7,C006,1,52
LEAD00014,2023-02-23,facebook,B.Tech CS,Bangalore,0,5,0,0,1,31,,12,engagement,10,5,3,2,C006,0,
LEAD00015,2024-12-23,facebook,B.Com,Delhi,6,7,1,0,0,37,,22,engagement,18,8,0,1,C008,0,
LEAD00016,2024-03-16,facebook,B.Com,Chennai,3,6,4,0,1,16,4.9,0,inquiry,17,0,4,5,C001,0,
LEAD00017,2023-09-22,facebook,B.Tech CS,Chennai,3,11,3,1,0,3,65.8,23,inquiry,20,12,6,5,C002,0,
LEAD00018,2024-07-06,facebook,BBA,Bangalore,6,4,2,0,0,77,16.1,4,admission,12,8,8,0,C004,1,54
LEAD00019,2023-12-12,google_ads,M.Tech,Bangalore,4,7,2,1,0,81,25.7,17,enrollment,4,1,4,4,C004,1,27
LEAD00020,2023-05-11,referral,BBA,Pune,7,6,3,1,1,71,57.1,18,admission,14,2,7,5,C005,1,45
LEAD00021,2023-12-25,facebook,B.Tech CS,Pune,2,2,2,1,1,32,14.1,12,engagement,5,15,9,3,C006,0,
LEAD00022,2024-09-16,referral,M.Tech,Chennai,1,1,0,0,1,10,16.6,16,verification,15,4,5,7,C007,0,
LEAD00023,2025-09-12,walk_in,B.Tech CS,Delhi,0,4,2,0,0,6,,8,application,8,0,10,4,C007,1,68
LEAD00024,2025-07-09,facebook,MBA,Chennai,4,0,2,1,0,33,,5,payment,4,10,4,3,C003,1,61
LEAD00025,2024-09-25,walk_in,MBA,Bangalore,4,3,2,0,0,8,17.8,7,inquiry,9,13,3,2,C009,0,
LEAD00026,2024-12-17,referral,BBA,Mumbai,3,14,3,1,1,79,59.1,10,application,13,3,3,0,C001,1,41
LEAD00027,2024-05-05,facebook,MBA,Bangalore,2,0,0,0,0,32,,22,inquiry,10,7,9,5,C008,0,
LEAD00028,2025-10-04,referral,MBA,Pune,2,0,1,0,0,0,25.2,6,engagement,11,8,3,0,C002,0,
LEAD00029,2024-11-23,facebook,MBA,Hyderabad,0,3,1,0,0,1,,27,inquiry,9,2,1,3,C008,0,
LEAD00030,2023-11-10,facebook,MBA,Chennai,5,9,3,1,0,44,,24,engagement,19,2,6,0,C010,1,19
LEAD00031,2025-09-22,referral,B.Tech CS,Mumbai,5,9,4,0,1,13,65.4,8,verification,1,11,8,6,C008,1,60
LEAD00032,2023-03-09,walk_in,BBA,Hyderabad,2,2,0,0,1,0,38.9,22,application,14,13,5,7,C001,0,
LEAD00033,2024-06-20,facebook,MBA,Hyderabad,2,4,2,1,1,32,59.1,16,inquiry,10,9,3,5,C008,0,
LEAD00034,2025-09-19,walk_in,B.Tech CS,Bangalore,2,0,1,1,0,0,8.8,17,application,14,13,7,6,C006,0,
LEAD00035,2024-07-19,facebook,BBA,Pune,7,3,4,1,1,41,39.2,27,inquiry,20,5,5,2,C006,0,
