total_calls,total_whatsapp_messages,total_emails,email_opened,whatsapp_replied,form_completion_percentage,response_time_hours,days_since_last_interaction,days_in_inquiry_stage,days_in_engagement_stage,days_in_application_stage,days_in_verification_stage,engagement_score,is_fast_responder,stage_numeric,total_stage_days,source_quality_score,has_high_form_completion,converted
2,2,1,1,0,0,22.1,24,13,5,10,5,1.6666666666666667,0,4,33,5,0,0
1,2,3,1,0,56,28.5,7,2,9,5,2,2.0,0,1,18,2,0,0
4,9,1,0,0,1,19.6,18,7,5,0,7,4.666666666666667,0,2,19,3,0,0
3,9,3,1,0,30,25.0,13,7,6,3,2,5.0,0,5,18,2,0,1
3,2,0,0,1,18,2.6,25,15,5,2,3,1.6666666666666667,1,6,25,1,0,1
1,6,0,0,0,33,19.2,14,17,8,3,5,2.3333333333333335,0,2,33,3,0,0
1,5,1,0,0,44,,14,0,3,9,1,2.3333333333333335,0,2,13,3,0,0
5,4,5,0,0,40,4.7,14,4,10,4,4,4.666666666666667,1,5,22,5,0,1
2,4,0,0,1,4,,29,4,10,3,0,2.0,0,4,17,3,0,0
2,12,2,1,0,47,67.8,20,5,5,5,0,5.333333333333333,0,7,15,3,0,1
0,3,1,1,0,8,27.0,13,12,14,9,3,1.3333333333333333,0,1,38,3,0,0
3,11,0,0,0,50,58.6,18,14,8,7,5,4.666666666666667,0,4,34,3,0,1
1,5,0,0,1,53,68.8,25,10,12,5,7,2.0,0,1,34,2,0,0
5,7,1,0,1,57,48.2,7,14,1,5,4,4.333333333333333,0,4,24,4,0,1
2,0,0,0,0,19,20.7,5,5,12,2,0,0.6666666666666666,0,3,19,1,0,0
0,5,0,0,0,10,,15,6,5,7,0,1.6666666666666667,0,7,18,4,0,1
4,2,1,1,0,46,,9,0,10,2,5,2.3333333333333335,0,4,17,3,0,1
0,0,2,0,0,13,28.9,7,8,5,5,5,0.6666666666666666,0,4,23,4,0,1
1,0,2,1,0,2,8.6,2,5,6,0,0,1.0,0,6,11,5,0,1
1,4,2,0,0,44,45.6,16,7,14,5,6,2.3333333333333335,0,1,32,1,0,0
4,7,2,1,0,34,50.0,7,10,10,7,7,4.333333333333333,0,2,34,5,0,0
3,4,3,0,0,37,56.1,8,18,5,6,6,3.3333333333333335,0,2,35,3,0,0
2,2,1,0,0,0,14.6,2,0,7,3,6,1.6666666666666667,0,1,16,1,0,0
5,8,4,0,0,27,,0,5,11,5,3,5.666666666666667,0,1,24,1,0,0
0,2,0,0,0,1,38.5,4,0,12,5,1,0.6666666666666666,0,2,18,5,0,0
3,0,0,0,0,45,,14,3,5,3,7,1.0,0,4,18,2,0,0
3,4,0,0,1,0,66.4,15,17,14,10,2,2.3333333333333335,0,2,43,1,0,0
1,2,0,0,0,28,71.8,10,13,13,0,5,1.0,0,1,31,5,0,0
5,5,3,0,0,5,,4,12,3,0,1,4.333333333333333,0,2,16,1,0,0
0,4,0,0,0,8,68.3,17,1,0,8,2,1.3333333333333333,0,5,11,5,0,1
3,0,3,1,0,16,,12,12,13,7,0,2.0,0,4,32,3,0,0
4,5,2,0,0,16,36.9,11,2,9,7,2,3.6666666666666665,0,1,20,5,0,0
0,4,0,0,1,7,57.8,18,20,1,5,4,1.3333333333333333,0,1,30,3,0,0
6,3,2,1,1,66,67.8,7,7,10,2,3,3.6666666666666665,0,6,22,4,0,1
3,5,2,1,1,30,,4,16,3,1,4,3.3333333333333335,0,1,24,1,0,0
4,6,0,0,1,0,66.5,13,18,7,1,7,3.3333333333333335,0,2,33,3,0,0
0,3,0,0,0,19,31.5,27,2,6,4,0,1.0,0,1,12,5,0,0
0,6,0,0,1,12,30.1,27,8,15,9,4,2.0,0,1,36,1,0,0
11,6,6,0,1,42,,15,0,14,8,6,7.666666666666667,0,7,28,1,0,1
4,2,3,1,0,18,37.5,30,12,9,3,5,3.0,0,7,29,1,0,1
1,0,0,0,0,16,,29,11,1,2,2,0.3333333333333333,0,1,16,4,0,0
5,15,5,1,0,62,,20,4,3,2,4,8.333333333333334,0,3,13,5,0,1
3,3,1,0,1,27,45.7,27,10,6,3,4,2.3333333333333335,0,6,23,3,0,1
4,6,2,1,0,26,23.4,23,4,7,5,4,4.0,0,3,20,3,0,1
2,1,2,0,0,26,56.0,10,20,4,9,6,1.6666666666666667,0,1,39,4,0,0
5,2,0,0,1,20,51.9,2,7,10,7,2,2.3333333333333335,0,5,26,1,0,1
2,6,2,0,0,23,31.1,12,0,12,6,4,3.3333333333333335,0,4,22,1,0,0
3,2,0,0,0,0,,6,0,9,7,0,1.6666666666666667,0,1,16,2,0,0
3,13,5,1,1,58,9.1,0,15,2,7,1,7.0,0,1,25,3,0,1
0,3,0,0,0,0,45.6,20,4,6,10,1,1.0,0,6,21,1,0,1
1,3,3,1,0,47,,19,18,12,2,3,2.3333333333333335,0,1,35,3,0,0
5,6,2,0,0,70,32.2,10,17,8,5,3,4.333333333333333,0,1,33,1,1,0
4,0,0,0,0,8,42.0,24,15,8,0,5,1.3333333333333333,0,2,28,3,0,0
6,10,4,1,0,86,,16,9,2,3,6,6.666666666666667,0,7,20,4,1,1
2,3,4,1,0,19,45.6,27,20,2,9,0,3.0,0,1,31,1,0,0
2,0,1,0,0,0,4.4,22,8,12,3,4,1.0,1,1,27,4,0,0
7,10,1,1,1,84,,19,14,0,10,5,6.0,0,6,29,1,1,1
1,3,2,1,0,7,63.2,30,6,10,3,1,2.0,0,1,20,3,0,0
7,0,1,0,0,39,50.4,25,15,14,10,0,2.6666666666666665,0,1,39,3,0,0
2,1,2,1,0,23,,25,17,3,2,7,1.6666666666666667,0,3,29,2,0,0
8,9,3,0,0,62,26.2,8,15,10,7,6,6.666666666666667,0,1,38,1,0,0
7,10,2,0,1,37,,13,14,15,10,2,6.333333333333333,0,3,41,3,0,0
1,6,2,0,0,12,11.1,5,7,9,0,4,3.0,0,6,20,5,0,1
2,4,2,1,0,45,44.5,12,4,1,3,0,2.6666666666666665,0,5,8,5,0,1
3,3,0,0,0,35,56.2,7,6,13,2,2,2.0,0,1,23,2,0,0
3,0,2,0,0,14,,1,9,6,4,7,1.6666666666666667,0,6,26,1,0,1
6,6,2,0,1,54,9.0,16,10,12,9,2,4.666666666666667,0,2,33,1,0,1
1,8,2,0,1,31,33.3,7,10,14,4,2,3.6666666666666665,0,3,30,2,0,1
2,1,0,0,0,0,18.8,25,2,2,7,3,1.0,0,6,14,2,0,1
